place,passing,jockey,up,borderNum,weight,popularity,topHourseNmae,basisWeigh,horseNum,distance,raceTitle,date,R,headCount,topDiff,weather,fieldCondition,money,order,name,time,rap,odds
2小倉4,10-9-8-4,川田将雅,37.4,5,512(+8),3,ヒデノインペリアル,54,8,ダ1700,天草特別(1000万下),2016/08/07,10,15,0.2,晴,良,609.6,2,ロンドンタウン ,1:45.6,30.9-38.0,6.9
3東京4,10-10,松岡正海,36.3,1,504(+4),5,エイシンバランサー,54,2,ダ1400,小金井特別(1000万下),2016/06/12,9,16,0.9,晴,良, ,6,ロンドンタウン ,1:24.9,35.6-36.5,17.3
3中山4,8-7-7-8,松岡正海,38.9,8,500(-2),12,ストロングバローズ,56,14,ダ1800,伏竜S(OP),2016/04/03,10,15,1.1,曇,稍, ,8,ロンドンタウン ,1:53.5,36.5-38.4,78.9
2中京2,12-12,勝浦正樹,37.2,6,502(-2),5,ダノンフェイス,56,10,ダ1400,昇竜S(OP),2016/03/13,10,15,0.6,曇,良, ,7,ロンドンタウン ,1:25.0,34.8-37.4,12.0
1東京3,13-14,松岡正海,35.5,2,504(-4),9,(ゼンノサーベイヤー),56,3,ダ1400,3歳500万下,2016/02/06,6,16,0.0,曇,良,720.0,1,ロンドンタウン ,1:25.6,36.0-36.9,30.4
1中京2,2-3,松若風馬,38.2,4,508(-2),7,ドライヴナイト,56,8,ダ1400,はこべら賞(500万下),2016/01/17,10,16,0.6,曇,良,89.0,5,ロンドンタウン ,1:26.1,35.4-37.8,14.9
5中山7,5-5,川須栄彦,38.1,3,510(+4),2,ビービーサレンダー,55,6,ダ1200,2歳500万下,2015/12/26,6,16,1.0,晴,良,72.0,5,ロンドンタウン ,1:13.4,34.9-37.5,2.8
5京都4,3-3,ルメール,35.7,3,506(-6),1,(ゴールデンスランバ),55,5,ダ1200,2歳未勝利,2015/11/15,2,15,-0.5,曇,不,500.0,1,ロンドンタウン ,1:11.1,35.0-36.1,1.3
4京都6,5-5,城戸義政,36.8,6,512(0),3,デピュティスカイ,53,7,ダ1200,2歳未勝利,2015/10/24,1,12,0.1,晴,良,200.0,2,ロンドンタウン ,1:12.7,35.4-37.2,6.4
,,,,,,,,,,,,,,,,,,,,ケイティブレイブ ,,,
4中京2,3-3-3-3,福永祐一,36.2,1,512(+9),3,ゴールドドリーム,57,2,ダ1800,チャンピオンズC(G1),2017/12/03,11,15,0.3,晴,良,"1,500.0",4,ケイティブレイブ ,1:50.4,36.2-36.2,6.6
大井,6-7-5-3,福永祐一,37.6,8,503(0),3,サウンドトゥルー,57,12,ダ2000,JBCクラシック競走(G1),2017/11/03,9,13,0.2,晴,重,"2,800.0",2,ケイティブレイブ ,2:04.7,36.7-37.8,4.3
船橋,2-2-2-2,福永祐一,37.3,8,503(-1),1,アポロケンタッキー,58,10,ダ1800,日本テレビ盃(G2),2017/09/27,11,11,0.1,曇,稍,640.0,3,ケイティブレイブ ,1:53.0,35.9-37.4,2.3
大井,12-12-9-7,福永祐一,36.5,2,504(0),6,(クリソライト),57,3,ダ2000,帝王賞競走(G1),2017/06/28,11,16,-0.3,曇,重,"6,000.0",1,ケイティブレイブ ,2:04.4,36.7-37.6,8.2
3京都9,3-2-1-1,福永祐一,38.8,8,504(+2),4,グレイトパール,58,16,ダ1900,平安S(G3),2017/05/20,11,16,0.8,晴,良,360.0,5,ケイティブレイブ ,1:56.5,28.6-38.0,8.4
名古屋,1-1-1,福永祐一,40.5,5,502(+4),3,(ピオネロ),58,5,ダ1900,名古屋大賞典(G3),2017/03/30,11,9,-0.3,晴,良,"2,100.0",1,ケイティブレイブ ,2:02.5, ,4.5
1東京8,4-4,幸英明,36.3,8,498(+7),11,ゴールドドリーム,57,15,ダ1600,フェブラリーS(G1),2017/02/19,11,16,0.5,晴,良, ,6,ケイティブレイブ ,1:35.6,34.0-36.1,44.1
川崎,3-2-2-2,武豊,38.7,6,491(-10),2,オールブラッシュ,56,8,ダ2100,川崎記念【指定交流】(G1),2017/02/01,11,12,0.9,晴,良,300.0,5,ケイティブレイブ ,2:15.5,30.8-38.2,3.3
名古屋,1-1-1-1,武豊,38.9,3,501(+12),1,アムールブリエ,55,3,ダ2500,名古屋グランプリ(G2),2016/12/15,11,12,0.7,晴,重,806.0,2,ケイティブレイブ ,2:42.4, ,1.5
